11:48:13.598 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:14.756 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:15.499 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:16.071 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[normalize-space()='Done']]
11:48:16.175 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[normalize-space()='SAVE']]
11:48:16.965 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:18.062 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:18.152 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:18.846 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: //button[@type='submit']
11:48:18.873 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[@type='submit']]
